gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.186929216969403678e+00,-4.499166503023807273e+00,4.489871378484648901e+00
2.276746701944546647e+00,-8.541718519470400395e+00,8.538996114871570953e+00
3.307538014896354461e+00,-1.216332505578931134e+01,1.220305766678189663e+01
4.306659432116735964e+00,-1.539883373651786158e+01,1.552840254252682151e+01
5.293833647751052141e+00,-1.828117681489580448e+01,1.855413070295313815e+01
6.282917686160394588e+00,-2.084123642906449092e+01,2.131324021625940190e+01
7.283292449080210673e+00,-2.310779581591352994e+01,2.383361541198322087e+01
8.300943286574296920e+00,-2.510756495133943389e+01,2.613889176658044278e+01
9.339301203509794647e+00,-2.686523973028841894e+01,2.824917839506585082e+01
1.039990127130486286e+01,-2.840358597168498633e+01,3.018167322814504772e+01
1.148288849903283193e+01,-2.974354894056148879e+01,3.195116851649038736e+01
1.258741003871575259e+01,-3.090435980580166841e+01,3.357047009235395763e+01
1.371191710605423708e+01,-3.190365438426295341e+01,3.505074436388250092e+01
1.485439208035950820e+01,-3.275757990709130496e+01,3.640179851650869125e+01
1.601252633395229097e+01,-3.348091443423812308e+01,3.763231120393577811e+01
1.718385060906335227e+01,-3.408716634067426554e+01,3.875001740919837090e+01
1.836582790611130278e+01,-3.458867625073089158e+01,3.976186210145355204e+01
1.955592889593222949e+01,-3.499671367271122335e+01,4.067412315522554422e+01
2.075168012738776824e+01,-3.532156216575777563e+01,4.149251059425150601e+01
2.195069511196443912e+01,-3.557260341193225628e+01,4.222224718020983403e+01
2.315070429989089718e+01,-3.575839505212089620e+01,4.286813691307828122e+01
2.434955879152756708e+01,-3.588673909613789448e+01,4.343461973504658147e+01
2.554524367103650917e+01,-3.596474926261252847e+01,4.392581482657270442e+01
2.673588043072880538e+01,-3.599890872664053632e+01,4.434555614949221791e+01
2.791971570009771852e+01,-3.599512907472840340e+01,4.469742926870875266e+01
2.909512594746653491e+01,-3.595879614639829214e+01,4.498479325078472613e+01
3.026060999135691532e+01,-3.589482060845421074e+01,4.521080652845645886e+01
3.141477429854169401e+01,-3.580767795268233300e+01,4.537844093468208939e+01
3.255633327499717211e+01,-3.570144949110203925e+01,4.549050576350705200e+01
3.368409575339168782e+01,-3.557985593137112090e+01,4.554965691656748561e+01
3.479696020061045658e+01,-3.544628729344152163e+01,4.555841427366889462e+01
3.589390418806498673e+01,-3.530383975242379790e+01,4.551916940894540886e+01
3.697397975541132098e+01,-3.515533332260395838e+01,4.543420264028348754e+01
3.803630079426206834e+01,-3.500334136421837883e+01,4.530568332955409261e+01
3.908004422527334754e+01,-3.485021043687333275e+01,4.513568957545397353e+01
4.010443858735565925e+01,-3.469808097235568312e+01,4.492620820437455365e+01
4.110875899886551821e+01,-3.454890510071287935e+01,4.467914625277681040e+01
4.209232677271557321e+01,-3.440445940043797890e+01,4.439633637126868138e+01
4.305449851848680254e+01,-3.426636622894385908e+01,4.407954447441552048e+01
4.399466539430036249e+01,-3.413610072184549438e+01,4.373047309257401594e+01
4.491225223266282995e+01,-3.401500330296963170e+01,4.335076949062278828e+01
4.580671097865809571e+01,-3.390429408383172216e+01,4.294203124801265403e+01
4.667751950978519915e+01,-3.380507708505748354e+01,4.250580602407891462e+01
4.752417939746386111e+01,-3.371835405323810164e+01,4.204360158929888769e+01
4.834621434672686036e+01,-3.364502831543048700e+01,4.155688353710522875e+01
4.914316714608357728e+01,-3.358591194270338320e+01,4.104708737984571343e+01
4.991460310718038329e+01,-3.354173398297569975e+01,4.051561005374822599e+01
5.066009995321200421e+01,-3.351314242347493177e+01,3.996382378968249327e+01
5.137925794294025650e+01,-3.350071552445810141e+01,3.939307105009150689e+01
5.207169039181509618e+01,-3.350495797183744173e+01,3.880467174228262905e+01
5.273702973539794669e+01,-3.352630997863523277e+01,3.819992197901753173e+01
5.337492196229759145e+01,-3.356515067723236712e+01,3.758009534362147264e+01
5.398502775830672107e+01,-3.362179987999061836e+01,3.694644973276895428e+01
5.456702631023165395e+01,-3.369652026327349148e+01,3.630022133184804289e+01
5.512060898814316801e+01,-3.378952362368588780e+01,3.564262976019151097e+01
5.564548503790418721e+01,-3.390096745767219488e+01,3.497487999711845674e+01
5.614137742425696587e+01,-3.403096184066235708e+01,3.429816014911360611e+01
5.660802670306356532e+01,-3.417956919410584504e+01,3.361364478276374257e+01
5.704518708673073490e+01,-3.434680803136975413e+01,3.292249223204773045e+01
5.745262887479494651e+01,-3.453264864420690117e+01,3.222584783392536423e+01
5.783014231612715150e+01,-3.473702584685926809e+01,3.152484268923403832e+01
5.817752896823378705e+01,-3.495982647990411607e+01,3.082059488267493208e+01
5.849460969867662641e+01,-3.520090216255251647e+01,3.011420659251571053e+01
5.878122398146290095e+01,-3.546006268466059907e+01,2.940676693223164762e+01
