ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.499999999999999822e+01,4.000000000000000000e+00,0.000000000000000000e+00
1.514999999999999858e+01,3.849999999999999645e+00,4.999999999999998196e-02
1.543500000000000050e+01,3.564999999999999947e+00,1.449999999999999623e-01
1.584149999999999991e+01,3.158500000000000085e+00,2.804999999999999161e-01
1.635735000000000028e+01,2.642650000000000166e+00,4.524499999999998523e-01
1.697161499999999990e+01,2.028385000000000105e+00,6.572049999999999281e-01
1.767445349999999848e+01,1.325546500000000405e+00,8.914844999999999020e-01
1.845700815000000006e+01,5.429918500000004977e-01,1.152336049999999945e+00
1.931130733500000218e+01,-3.113073350000220008e-01,1.437102444999999840e+00
2.023017660150000196e+01,-1.230176601499996414e+00,1.743392200499999767e+00
2.120715894134999857e+01,-2.207158941350014558e+00,2.069052980449999968e+00
2.223644304721500120e+01,-3.236443047215011859e+00,2.412147682404999660e+00
2.331279874249350215e+01,-4.312798742493525239e+00,2.770932914164499827e+00
2.443151886824415087e+01,-5.431518868244167741e+00,3.143839622748049401e+00
2.558836698141973542e+01,-6.588366981419737201e+00,3.529455660473244105e+00
2.677953028327776153e+01,-7.779530283277755309e+00,3.926510094425919917e+00
2.800157725494998573e+01,-9.001577254950007045e+00,4.333859084983327392e+00
2.925141952945499213e+01,-1.025141952945499035e+01,4.750473176484994120e+00
3.052627757650949292e+01,-1.152627757650948581e+01,5.175425858836494974e+00
3.182364981885854860e+01,-1.282364981885855215e+01,5.607883272952845388e+00
3.314128483697269445e+01,-1.414128483697270866e+01,6.047094945657560672e+00
3.447715635327542572e+01,-1.547715635327540973e+01,6.492385451091804427e+00
3.582944071794788243e+01,-1.682944071794787533e+01,6.943146905982623629e+00
3.719649664615309348e+01,-1.819649664615306861e+01,7.398832215384359756e+00
3.857684698153778413e+01,-1.957684698153780190e+01,7.858948993845922715e+00
3.996916228338400856e+01,-2.096916228338402632e+01,8.323054094461330266e+00
4.137224605504560770e+01,-2.237224605504558994e+01,8.790748685015197239e+00
4.278502144954104836e+01,-2.378502144954105191e+01,9.261673816513678048e+00
4.420651930458694778e+01,-2.520651930458692291e+01,9.735506434862308822e+00
4.563586737412825300e+01,-2.663586737412823169e+01,1.021195579137607901e+01
4.707228063671542628e+01,-2.807228063671543694e+01,1.069076021223846951e+01
4.851505257304388152e+01,-2.951505257304386731e+01,1.117168419101462362e+01
4.996354731573949692e+01,-3.096354731573947916e+01,1.165451577191315913e+01
5.141719258416554794e+01,-3.241719258416556926e+01,1.213906419472184339e+01
5.287547332574899173e+01,-3.387547332574897041e+01,1.262515777524965799e+01
5.433792599317409611e+01,-3.533792599317410321e+01,1.311264199772469219e+01
5.580413339385668081e+01,-3.680413339385666660e+01,1.360137779795222279e+01
5.727372005447101344e+01,-3.827372005447100634e+01,1.409124001815700034e+01
5.874634804902390783e+01,-3.974634804902393626e+01,1.458211601634130083e+01
6.022171324412151705e+01,-4.122171324412152416e+01,1.507390441470717057e+01
6.169954191970936819e+01,-4.269954191970937529e+01,1.556651397323645192e+01
6.317958772773842924e+01,-4.417958772773841503e+01,1.605986257591280975e+01
6.466162895496458418e+01,-4.566162895496457708e+01,1.655387631832152806e+01
6.614546605946812008e+01,-4.714546605946813429e+01,1.704848868648937454e+01
6.763091945352131518e+01,-4.863091945352132228e+01,1.754363981784043602e+01
6.911782750816917087e+01,-5.011782750816919929e+01,1.803927583605639029e+01
7.060604475735226515e+01,-5.160604475735228647e+01,1.853534825245075268e+01
7.209544028161703011e+01,-5.309544028161703721e+01,1.903181342720567670e+01
7.358589625345531715e+01,-5.458589625345536689e+01,1.952863208448510690e+01
7.507730662810979538e+01,-5.607730662810983802e+01,2.002576887603659372e+01
7.656957596529881016e+01,-5.756957596529885990e+01,2.052319198843293435e+01
7.806261836876892346e+01,-5.906261836876893767e+01,2.102087278958963878e+01
7.955635653189203538e+01,-6.055635653189209222e+01,2.151878551063067491e+01
8.105072087870283326e+01,-6.205072087870284037e+01,2.201690695956760635e+01
8.254564879083255846e+01,-6.354564879083256557e+01,2.251521626361084571e+01
8.404108391174929693e+01,-6.504108391174931114e+01,2.301369463724975972e+01
8.553697552057437292e+01,-6.653697552057437292e+01,2.351232517352478268e+01
8.703327796851692710e+01,-6.803327796851696974e+01,2.401109265617230548e+01
