q0 (),q1,q2,q3
9.908408999522051452e-01,-4.555298414973697925e-03,3.460092667022682256e-02,1.304466791904508038e-01
9.907155705430377157e-01,-3.995850355778159113e-03,3.335560519643444854e-02,1.317349424621164500e-01
9.904672129763687494e-01,-2.923820213496764256e-03,3.099354675832503153e-02,1.341847657281679540e-01
9.900897373561440284e-01,-1.374246521248611522e-03,2.763380097695908658e-02,1.376836826646725409e-01
9.895712870222276303e-01,6.267428301769814233e-04,2.338626459150252440e-02,1.421314804082934036e-01
9.888962188096317441e-01,3.059631240770907708e-03,1.835218719743960877e-02,1.474384763409926913e-01
9.880465886317092439e-01,5.909715071348904496e-03,1.262473551242341251e-02,1.535240372523435648e-01
9.870032575048965917e-01,9.165708862906327831e-03,6.289574363044575338e-03,1.603153165174653616e-01
9.857467066348193363e-01,1.281867346747546377e-02,-5.745614745224373113e-04,1.677461828127654042e-01
9.842576297930719642e-01,1.686120098560109359e-02,-7.895319755219764798e-03,1.757563143144792728e-01
9.825173555461511610e-01,2.128680271156232345e-02,-1.560621570169870576e-02,1.842904341315335370e-01
9.805081398622389477e-01,2.608945656595224732e-02,-2.364615300096665346e-02,1.932976651908661636e-01
9.782133603697887869e-01,3.126327899438746671e-02,-3.195898163858094942e-02,2.027309854787610055e-01
9.756176364205387808e-01,3.680229328574006337e-02,-4.049309166028489809e-02,2.125467671876088704e-01
9.727068936179387171e-01,4.270027195290473920e-02,-4.920104101148497361e-02,2.227043857823059192e-01
9.694683872278704317e-01,4.895063543806996154e-02,-5.803921514570446055e-02,2.331658872161011531e-01
9.658906956009414291e-01,5.554639313880491147e-02,-6.696751593307516404e-02,2.438957034688236658e-01
9.619636921830799769e-01,6.248011575925652150e-02,-7.594907741839432291e-02,2.548604082542070270e-01
9.576785027050467303e-01,6.974393040516274622e-02,-8.495000609641996381e-02,2.660285061651819216e-01
9.530274525932558305e-01,7.732953177256848831e-02,-9.393914353948951135e-02,2.773702497214008411e-01
9.480040084357829189e-01,8.522820431915859030e-02,-1.028878493980930620e-01,2.888574797793108662e-01
9.426027163933069497e-01,9.343085152877377009e-02,-1.117698029802423887e-01,3.004634855890565004e-01
9.368191397071625737e-01,1.019280293451459152e-01,-1.205608217902547491e-01,3.121628814599924362e-01
9.306497968809442911e-01,1.107099816100906298e-01,-1.292386955670404014e-01,3.239314975507635586e-01
9.240921016635446072e-01,1.197666759349662879e-01,-1.377830345045451543e-01,3.357462827512182058e-01
9.171443056131848293e-01,1.290878388951425260e-01,-1.461751304628640391e-01,3.475852179895680405e-01
9.098054437527391958e-01,1.386629897922990462e-01,-1.543978300890398725e-01,3.594272385943200199e-01
9.020752836199377178e-01,1.484814725002402969e-01,-1.624354188633418405e-01,3.712521645793598335e-01
8.939542778587248328e-01,1.585324851140799407e-01,-1.702735151717840179e-01,3.830406379128507566e-01
8.854435203798360909e-01,1.688051072742296210e-01,-1.778989735805465711e-01,3.947740659851991518e-01
