ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.186095868151435528e+00,-4.500000000000000000e+00,4.489038226169207668e+00
2.275913489600137396e+00,-8.542552301017597216e+00,8.538162850575984564e+00
3.306704558436336150e+00,-1.216415848165721769e+01,1.220222465194074424e+01
4.305826132275312190e+00,-1.539966732820114714e+01,1.552756883597794335e+01
5.293000025588662005e+00,-1.828201093095728069e+01,1.855329764883701671e+01
6.282084323998297748e+00,-2.084206979802743120e+01,2.131240682286263777e+01
7.282459354163509424e+00,-2.310862926717113197e+01,2.383278234219389802e+01
8.300109797351135299e+00,-2.510839877746463600e+01,2.613805835606977368e+01
9.338467746642395539e+00,-2.686607299246419345e+01,2.824834510978211455e+01
1.039906790114556756e+01,-2.840441952758544986e+01,3.018083976529841550e+01
1.148205524001396505e+01,-2.974438239643114201e+01,3.195033446681086886e+01
1.258657692571218867e+01,-3.090519353240603095e+01,3.356963598057134845e+01
1.371108341037725609e+01,-3.190448711403722371e+01,3.504991036273622029e+01
1.485355839068341233e+01,-3.275841313521784315e+01,3.640096480575075333e+01
1.601169307142498610e+01,-3.348174788354517517e+01,3.763147734641512443e+01
1.718301691148134935e+01,-3.408799985182741210e+01,3.874918364551000138e+01
1.836499444356928734e+01,-3.458951020893564277e+01,3.976102865952760368e+01
1.955509572813077668e+01,-3.499754737043654274e+01,4.067328976556500209e+01
2.075084640195733954e+01,-3.532239549115483612e+01,4.149167678923148372e+01
2.194986202014975873e+01,-3.557343689034330225e+01,4.222141342433651090e+01
2.314987039286446802e+01,-3.575922854370441684e+01,4.286730371446838461e+01
2.434872482924725645e+01,-3.588757285514056150e+01,4.343378657769260087e+01
2.554441057577121299e+01,-3.596558296889955386e+01,4.392498078173371567e+01
2.673504624036220179e+01,-3.599974290955739065e+01,4.434472230304212559e+01
2.791888160021404275e+01,-3.599596284984463779e+01,4.469659561463027586e+01
2.909429287889424387e+01,-3.595962980935203035e+01,4.498396013123619497e+01
3.025977633056725935e+01,-3.589565408384559220e+01,4.520997278442146694e+01
3.141394077277433894e+01,-3.580851169745483986e+01,4.537760749432213458e+01
3.255549955380742944e+01,-3.570228315984865475e+01,4.548967214008322912e+01
3.368326231803965243e+01,-3.558068879868184808e+01,4.554882349999785163e+01
3.479612683605067502e+01,-3.544712092476656551e+01,4.555758052872089792e+01
3.589307109076091251e+01,-3.530467307406052413e+01,4.551833625737258870e+01
3.697314575186173613e+01,-3.515616655699368209e+01,4.543336853853760715e+01
3.803546712522947360e+01,-3.500417453210195617e+01,4.530484980852671839e+01
3.907921062903517395e+01,-3.485104380756375519e+01,4.513485600088610283e+01
4.010360482173149421e+01,-3.469891456115771433e+01,4.492537471564604346e+01
4.110792598726619929e+01,-3.454973815646444990e+01,4.467831272628629335e+01
4.209149326832893223e+01,-3.440529322088506348e+01,4.439550288932632327e+01
4.305366432805323029e+01,-3.426720013928795794e+01,4.407871050860035922e+01
4.399383151346037124e+01,-3.413693410585894128e+01,4.372963919667638777e+01
4.491141848931512470e+01,-3.401583686603635925e+01,4.334993626875692740e+01
4.580587730838387728e+01,-3.390512727027921613e+01,4.294119769915410245e+01
4.667668588287476439e+01,-3.380591075184363348e+01,4.250497266659066042e+01
4.752334582172927213e+01,-3.371918783173506995e+01,4.204276771177827499e+01
4.834538059912856767e+01,-3.364586174554970910e+01,4.155605052868214955e+01
4.914233402084788338e+01,-3.358674527901117557e+01,4.104625340938422084e+01
4.991376895675334424e+01,-3.354256689163152316e+01,4.051477636134325166e+01
5.065926630965095967e+01,-3.351397620106163089e+01,3.996298991499764952e+01
5.137842419275557404e+01,-3.350154889432526772e+01,3.939223763897826558e+01
5.207085729016809239e+01,-3.350579112623186262e+01,3.880383837962787652e+01
5.273619637686980610e+01,-3.352714345981236477e+01,3.819908824101651845e+01
5.337408797681807471e+01,-3.356598439859628513e+01,3.757926232116601994e+01
5.398419413972595038e+01,-3.362263355592217096e+01,3.694561621973120680e+01
5.456619231900756262e+01,-3.369735450222454176e+01,3.629938733191799827e+01
5.511977533515680960e+01,-3.379035732734237740e+01,3.564179594294053999e+01
5.564465141049156927e+01,-3.390180095132564730e+01,3.497404613683008279e+01
5.614054426273573029e+01,-3.403179521395338014e+01,3.429732653290453470e+01
5.660719324632695759e+01,-3.418040277019645146e+01,3.361281086269275420e+01
5.704435353163169253e+01,-3.434764081614182629e+01,3.292165839958403950e+01
5.745179631342598725e+01,-3.453348266741929251e+01,3.222501425294338162e+01
5.782930904106544290e+01,-3.473785920992038001e+01,3.152400953790088423e+01
5.817669566372819645e+01,-3.496066024055227217e+01,3.081976143149386971e+01
5.849377688497695971e+01,-3.520173571391093503e+01,3.011337312531353660e+01
