gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
2.746655856444996657e-01,1.008335650517713650e-01,5.001483304028552235e-01
5.209488278979920173e-01,1.913302707290606697e-01,9.494233177620533537e-01
7.422334666228737055e-01,2.738878584309974440e-01,1.353527462518527624e+00
9.408606258249918586e-01,3.497757316047152010e-01,1.716870538717910621e+00
1.118973847732417592e+00,4.200262072458343932e-01,2.043442456845196986e+00
1.278531287113023662e+00,4.854809294965817257e-01,2.336850297418426869e+00
1.421318154343323759e+00,5.468281882272223449e-01,2.600352904758817640e+00
1.548959177946417354e+00,6.046328794267160633e-01,2.836892882007156391e+00
1.662930740922036854e+00,6.593605893424825393e-01,3.049126096971940036e+00
1.764572630619724025e+00,7.113968787639962654e-01,3.239448718950297401e+00
1.855099216952869945e+00,7.610627624226712351e-01,3.410021940773222848e+00
1.935610027286819079e+00,8.086271186624126583e-01,3.562794480616386927e+00
2.007099690902078404e+00,8.543166083601042571e-01,3.699523089216041338e+00
2.070467170010839908e+00,8.983236293759676583e-01,3.821791140443990376e+00
2.126524379962536848e+00,9.408126877774630747e-01,3.931025489886949220e+00
2.176004119450087870e+00,9.819254919822129057e-01,4.028511760643333162e+00
2.219567397732720604e+00,1.021785029300065650e+00,4.115408164554642312e+00
2.257810141231823220e+00,1.060498849946813094e+00,4.192757992358526309e+00
2.291269353304335787e+00,1.098161669363525217e+00,4.261500933289546822e+00
2.320428735576995027e+00,1.134857493316370869e+00,4.322483253793349078e+00
2.345723806427836067e+00,1.170661301203932636e+00,4.376467038607196436e+00
2.367546568759988368e+00,1.205640415046889125e+00,4.424138485762743045e+00
2.386249749996906200e+00,1.239855605188604271e+00,4.466115440105126844e+00
2.402150653027279592e+00,1.273361988938033651e+00,4.502954136951106356e+00
2.415534628605386480e+00,1.306209755283711527e+00,4.535155316709845508e+00
2.426658246181527367e+00,1.338444776378452827e+00,4.563169751603902924e+00
2.435752153146771182e+00,1.370109099970050703e+00,4.587403183294763487e+00
2.443023649860668112e+00,1.401241353860910976e+00,4.608220818412345210e+00
2.448659016630288843e+00,1.431877107956778916e+00,4.625951350160852016e+00
2.452825626660065872e+00,1.462049158938315330e+00,4.640890611754392658e+00
2.455673848872362175e+00,1.491787768202612163e+00,4.653304821663830637e+00
2.457338750616075540e+00,1.521120918022832225e+00,4.663433574202015208e+00
2.457941648292914838e+00,1.550074450029663486e+00,4.671492461748908198e+00
2.457591483274013111e+00,1.578672271632562518e+00,4.677675497951617523e+00
2.456386090889656426e+00,1.606936485249731428e+00,4.682157260725661629e+00
2.454413324438048161e+00,1.634887526928928025e+00,4.685094833038639273e+00
2.451752055774920613e+00,1.662544284497856406e+00,4.686629565324266444e+00
2.448473094234885572e+00,1.689924210569903051e+00,4.686888643132821386e+00
2.444640017063222093e+00,1.717043423147145642e+00,4.685986497790168848e+00
2.440309883652141743e+00,1.743916796124378887e+00,4.684026109105396962e+00
2.435533925645009923e+00,1.770558044884372517e+00,4.681100122309073797e+00
2.430358119382071358e+00,1.796979803710816004e+00,4.677291905526619331e+00
2.424823738147131813e+00,1.823193713893122458e+00,4.672676478358501306e+00
2.418967824820647206e+00,1.849210473075032946e+00,4.667321343750217011e+00
2.412823622471107488e+00,1.875039915031614157e+00,4.661287248909410152e+00
2.406420967308871894e+00,1.900691065348367959e+00,4.654628862245153265e+00
2.399786640487937994e+00,1.926172190914444249e+00,4.647395386209238310e+00
2.392944672278436880e+00,1.951490867963326714e+00,4.639631103183742056e+00
2.385916626360694792e+00,1.976654023795634929e+00,4.631375874479765287e+00
2.378721862595168268e+00,2.001667976380148595e+00,4.622665589406580011e+00
2.371377744654709296e+00,2.026538494142142266e+00,4.613532555819904957e+00
2.363899860736048630e+00,2.051270820507774761e+00,4.604005869166632792e+00
2.356302199443978562e+00,2.075869723035386638e+00,4.594111734446828521e+00
2.348597315746043357e+00,2.100339522103956469e+00,4.583873757086171175e+00
2.340796464988221359e+00,2.124684128898917113e+00,4.573313205060747677e+00
2.332909768264310735e+00,2.148907077034822422e+00,4.562449249631558956e+00
2.324946287334457740e+00,2.173011543007502322e+00,4.551299171343357486e+00
2.316914168468052537e+00,2.197000387909641805e+00,4.539878550032498516e+00
2.308820716796778694e+00,2.220876163820172167e+00,4.528201449434789971e+00
2.300672492361824251e+00,2.244641157451332525e+00,4.516280552578211704e+00
2.292475380709344090e+00,2.268297389599208014e+00,4.504127324052629611e+00
2.284234656111800543e+00,2.291846656861976417e+00,4.491752105525142369e+00
2.275955071950901853e+00,2.315290539252561341e+00,4.479164260624176386e+00
2.267640875096459396e+00,2.338630411342152993e+00,4.466372247125562467e+00
2.259295889381626399e+00,2.361867474766598640e+00,4.453383730768325499e+00
2.250923545519501801e+00,2.385002759699646813e+00,4.440205643609837161e+00
2.242526918816099446e+00,2.408037142113143236e+00,4.426844286172985754e+00
2.234108776010727659e+00,2.430971356911256098e+00,4.413305364920491414e+00
2.225671600661959904e+00,2.453806013943024222e+00,4.399594073696503571e+00
2.217217622170252866e+00,2.476541600101743512e+00,4.385715131254543486e+00
2.208748843252821725e+00,2.499178493569128801e+00,4.371672839548892853e+00
2.200267063747527008e+00,2.521716986637385638e+00,4.357471120104935203e+00
2.191773895288556595e+00,2.544157256867978667e+00,4.343113564087064837e+00
2.183270796170567962e+00,2.566499421166398065e+00,4.328603452546229136e+00
2.174759064278231957e+00,2.588743508957858097e+00,4.313943788292895931e+00
2.166239884178454034e+00,2.610889483768984221e+00,4.299137342381381011e+00
2.157714297372251622e+00,2.632937247526045077e+00,4.284186661728607071e+00
2.149183262912778947e+00,2.654886647269031119e+00,4.269094095405293388e+00
2.140647630439812321e+00,2.676737473075450069e+00,4.253861818200994627e+00
2.132108170396576963e+00,2.698489471133737272e+00,4.238491847987320149e+00
2.123565572359921827e+00,2.720142341093816363e+00,4.222986057365494261e+00
2.115020462548790725e+00,2.741695745304741028e+00,4.207346202425865656e+00
2.106473399734202889e+00,2.763149320206276460e+00,4.191573919313550611e+00
2.097924892146663112e+00,2.784502653915770676e+00,4.175670745554993069e+00
2.089375396878665470e+00,2.805755321392630730e+00,4.159638124566871653e+00
2.080825325096892442e+00,2.826906860608201288e+00,4.143477428913364236e+00
2.072275049540769132e+00,2.847956790078529643e+00,4.127189950231452187e+00
2.063724905331370429e+00,2.868904612741831617e+00,4.110776918348670428e+00
2.055175199539719610e+00,2.889749801929506479e+00,4.094239510605352628e+00
2.046626207269405473e+00,2.910491827640755869e+00,4.077578850794687959e+00
2.038078177574353056e+00,2.931130134829675882e+00,4.060796014931907116e+00
2.029531339357089514e+00,2.951664162429456173e+00,4.043892043333254804e+00
2.020985897410577437e+00,2.972093326622441189e+00,4.026867939059043167e+00
2.012442042752286220e+00,2.992417046066223829e+00,4.009724679710863882e+00
2.003899938894359245e+00,3.012634727256882972e+00,3.992463199123656548e+00
1.995359748632342667e+00,3.032745767758779909e+00,3.975084425931451282e+00
1.986821611148240851e+00,3.052749555387711311e+00,3.957589254113248689e+00
1.978285659442094335e+00,3.072645477515904666e+00,3.939978571121013573e+00
1.969752007711093933e+00,3.092432916636632445e+00,3.922253229554375942e+00
1.961220771756180037e+00,3.112111246263054909e+00,3.904414091354295735e+00
1.952692049275062569e+00,3.131679846229240560e+00,3.886461983276747745e+00
1.944165936095972214e+00,3.151138081031588101e+00,3.868397737046857632e+00
1.935642517945177721e+00,3.170485323813874157e+00,3.850222169492552915e+00
1.927121871962764299e+00,3.189720945463295543e+00,3.831936089463431117e+00
1.918604078321281436e+00,3.208844312732589188e+00,3.813540298933205452e+00
1.910089204317036549e+00,3.227854794634965607e+00,3.795035599644989599e+00
1.901577314809741015e+00,3.246751762869854119e+00,3.776422779539009955e+00
1.893068469190591019e+00,3.265534580092833927e+00,3.757702635156009219e+00
1.884562723337735779e+00,3.284202624898319378e+00,3.738875949532503462e+00
1.876060138757186024e+00,3.302755262933765312e+00,3.719943506150987567e+00
1.867560759812550986e+00,3.321191873714954390e+00,3.700906091575225432e+00
1.859064637535559283e+00,3.339511829500993567e+00,3.681764486717823637e+00
1.850571818052263451e+00,3.357714515051259507e+00,3.662519473839229711e+00
1.842082344158276763e+00,3.375799308449107361e+00,3.643171840501552516e+00
1.833596258251313005e+00,3.393765591411761040e+00,3.623722364315023814e+00
1.825113601956644516e+00,3.411612757940900575e+00,3.604171831072452648e+00
1.816634414770086137e+00,3.429340194524692631e+00,3.584521024809273815e+00
1.808158735081163204e+00,3.446947293755120878e+00,3.564770733242371925e+00
1.799686592540814978e+00,3.464433458418532119e+00,3.544921740788433251e+00
1.791218032118324421e+00,3.481798089829586385e+00,3.524974842504972283e+00
1.782753081769975712e+00,3.499040594239834601e+00,3.504930827787033465e+00
1.774291776231764262e+00,3.516160377774605106e+00,3.484790492353996516e+00
1.765834148071654397e+00,3.533156855467912028e+00,3.464554631191185674e+00
1.757380226666163114e+00,3.550029450448684898e+00,3.444224045184773875e+00
1.748930048551338157e+00,3.566777581117473783e+00,3.423799535976867148e+00
1.740483642920226837e+00,3.583400675990210615e+00,3.403281903721151913e+00
1.732041037559467034e+00,3.599898168064629811e+00,3.382671963440730512e+00
1.723602264546904017e+00,3.616269490899508554e+00,3.361970520257297146e+00
1.715167348284153181e+00,3.632514090928883110e+00,3.341178389175250452e+00
1.706736321959358982e+00,3.648631410003998266e+00,3.320296384419722635e+00
1.698309215127328686e+00,3.664620902736686947e+00,3.299325324410621985e+00
1.689886054990319852e+00,3.680482022231903905e+00,3.278266035024518743e+00
1.681466866074186273e+00,3.696214231756191904e+00,3.257119339879799735e+00
1.673051679998264873e+00,3.711816995308890199e+00,3.235886069568362000e+00
1.664640522910647791e+00,3.727289789544015353e+00,3.214567049989488279e+00
1.656233419771572901e+00,3.742632084972313145e+00,3.193163123327568798e+00
1.647830401743512363e+00,3.757843367739981844e+00,3.171675120268044878e+00
1.639431494280984003e+00,3.772923121384710310e+00,3.150103886382281448e+00
1.631036724559627782e+00,3.787870843583664104e+00,3.128450258788216143e+00
1.622646116442140629e+00,3.802686023727762876e+00,3.106715093165719033e+00
1.614259698943074195e+00,3.817368175264705066e+00,3.084899237338538214e+00
1.605877497712256075e+00,3.831916800182170846e+00,3.063003539597043634e+00
1.597499537657954827e+00,3.846331413283345935e+00,3.041028861581415832e+00
1.589125850147653729e+00,3.860611533768493420e+00,3.018976062620522427e+00
1.580756454659928645e+00,3.874756693049047129e+00,2.996846002840114931e+00
1.572391382447255737e+00,3.888766414999590193e+00,2.974639546861064243e+00
1.564030655218240140e+00,3.902640239509880260e+00,2.952357565272679452e+00
1.555674303270722980e+00,3.916377708380179623e+00,2.930000928465005483e+00
1.547322350556518122e+00,3.929978369193254384e+00,2.907570507259438664e+00
1.538974820770905083e+00,3.943441775399670224e+00,2.885067186688120788e+00
1.530631740131359386e+00,3.956767486506095111e+00,2.862491841721084285e+00
1.522293135866347402e+00,3.969955064614028029e+00,2.839845354780859754e+00
1.513959034172698281e+00,3.983004083893728176e+00,2.817128612178448233e+00
1.505629461855227280e+00,3.995914121311848088e+00,2.794342501457753869e+00
1.497304438694337048e+00,4.008684756057841803e+00,2.771487914238635497e+00
1.488983996234330087e+00,4.021315579862457135e+00,2.748565743700089214e+00
1.480668158381248656e+00,4.033806186108865433e+00,2.725576887887978472e+00
1.472356949006955018e+00,4.046156171143164393e+00,2.702522243159835469e+00
1.464050394749508266e+00,4.058365145100223614e+00,2.679402715538852675e+00
1.455748520254097178e+00,4.070432717397021172e+00,2.656219205417118978e+00
1.447451350048277297e+00,4.082358507262641822e+00,2.632972621188249374e+00
1.439158914204993422e+00,4.094142138264535546e+00,2.609663871150993852e+00
1.430871232263232873e+00,4.105783239996285694e+00,2.586293866796324004e+00
1.422588333462630805e+00,4.117281445385029492e+00,2.562863521704694669e+00
1.414310239070579289e+00,4.128636401433404046e+00,2.539373753239162923e+00
1.406036982364231580e+00,4.139847752569268735e+00,2.515825477669735299e+00
1.397768578791837690e+00,4.150915153629465060e+00,2.492219620125941670e+00
1.389505057055262061e+00,4.161838264979237145e+00,2.468557100509390256e+00
1.381246446328388222e+00,4.172616753033074666e+00,2.444838847901523504e+00
1.372992770282263297e+00,4.183250287441039994e+00,2.421065784742697069e+00
1.364744047410360039e+00,4.193738548675875144e+00,2.397238842803616876e+00
1.356500313042584560e+00,4.204081221949010683e+00,2.373358955973490669e+00
1.348261584185682871e+00,4.214277995308131963e+00,2.349427053496613294e+00
1.340027891367542523e+00,4.224328564894141991e+00,2.325444076113005742e+00
1.331799255690688355e+00,4.234232638502054336e+00,2.301410957516246913e+00
1.323575703147046090e+00,4.243989920952518702e+00,2.277328641766028561e+00
1.315357262696592366e+00,4.253600129615673353e+00,2.253198063973326892e+00
1.307143954791345708e+00,4.263062985533117022e+00,2.229020172431854352e+00
