q0 (),q1,q2,q3
9.987058727081077336e-01,-1.141822448283495847e-03,2.615203365342089539e-02,4.360444009070440358e-02
9.986847343558236112e-01,-8.956215265636016231e-04,2.625021348291272857e-02,4.403323198245564368e-02
9.986438605560774562e-01,-4.280798001626443059e-04,2.643735498692308811e-02,4.484777344120489950e-02
9.985839504947824352e-01,2.382361958944757309e-04,2.670563698296082866e-02,4.600919485367632039e-02
9.985051993382068058e-01,1.082864530502629895e-03,2.704838611804462681e-02,4.748240839916895856e-02
9.984074516532727150e-01,2.087268632833065227e-03,2.745987480685582738e-02,4.923574990252579942e-02
9.982903182467974812e-01,3.234668975160533491e-03,2.793515730959498719e-02,5.124065180515910423e-02
9.981532642139133715e-01,4.509886219700216629e-03,2.846993667229370459e-02,5.347134532878974195e-02
9.979956744344865571e-01,5.899195915002175029e-03,2.906045661846339348e-02,5.590458978239087884e-02
9.978169014986381091e-01,7.390194521865950730e-03,2.970341359888362467e-02,5.851942693806728990e-02
9.976163000257570745e-01,8.971676348535526438e-03,3.039588511870110893e-02,6.129695844221294543e-02
9.973932505216551725e-01,1.063352085015558182e-02,3.113527120391921740e-02,6.422014431028984227e-02
9.971471752593171756e-01,1.236658967627234096e-02,3.191924647308146124e-02,6.727362066021032316e-02
9.968775481399163585e-01,1.416263281665404439e-02,3.274572076970604095e-02,7.044353495901276019e-02
9.965839000676868231e-01,1.601420318834920198e-02,3.361280670770534773e-02,7.371739718242364958e-02
9.962658210346393428e-01,1.791457901734351196e-02,3.451879280285481688e-02,7.708394541174427850e-02
9.959229598424523822e-01,1.985769339039294631e-02,3.546212112252217913e-02,8.053302451388459626e-02
9.955550221757349938e-01,2.183807038227673913e-02,3.644136859493611602e-02,8.405547666617933789e-02
9.951617675723188894e-01,2.385076719774283441e-02,3.745523128774503469e-02,8.764304259665151031e-02
9.947430057034474249e-01,2.589132180362787444e-02,3.850251110123022180e-02,9.128827251203659732e-02
9.942985922725458003e-01,2.795570556349789848e-02,3.958210443058682304e-02,9.498444577996438543e-02
9.938284247598868637e-01,3.004028042362631018e-02,4.069299243928867216e-02,9.872549851830382528e-02
9.933324381772633549e-01,3.214176023449809294e-02,4.183423265586189849e-02,1.025059583240727212e-01
9.928106009479925609e-01,3.425717582585131177e-02,4.300495166276940145e-02,1.063208854468653680e-01
