ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.738320218785280646e-01,9.999999999999997780e-02,4.993147673772868611e-01
5.201152632801132603e-01,1.904967065229420109e-01,9.485897521301288604e-01
7.413999011763735547e-01,2.730542937119721514e-01,1.352693896834720411e+00
9.400270604430428500e-01,3.489421664876078966e-01,1.716036974135440873e+00
1.118140284689611574e+00,4.191926425218336361e-01,2.042608891053119269e+00
1.277697721395849362e+00,4.846473660890062152e-01,2.336016734378619120e+00
1.420484589791866314e+00,5.459946227667263896e-01,2.599519340839166137e+00
1.548125612006847396e+00,6.037993149196366760e-01,2.836059317478996977e+00
1.662097175791632964e+00,6.585270237924545356e-01,3.048292532270324706e+00
1.763739065495058433e+00,7.105633118063398035e-01,3.238615156169370124e+00
1.854265650894049156e+00,7.602291972818171484e-01,3.409188375586409414e+00
1.934776464121471973e+00,8.077935541011111997e-01,3.561960915672563122e+00
2.006266125856756233e+00,8.534830431403556128e-01,3.698689525033493908e+00
2.069633605190331682e+00,8.974900643503926911e-01,3.820957575089762859e+00
2.125690814783476768e+00,9.399791229698922779e-01,3.930191924887838972e+00
2.175170555430878228e+00,9.810919262795236850e-01,4.027678196538135857e+00
2.218733832939364881e+00,1.020951465090418342e+00,4.114574598885782919e+00
2.256976576195060868e+00,1.059665283983934225e+00,4.191924428385513934e+00
2.290435789063112182e+00,1.097328103888030926e+00,4.260667367055926746e+00
2.319595170872335466e+00,1.134023928023983219e+00,4.321649688234718845e+00
2.344890241094380379e+00,1.169827736072760471e+00,4.375633471910583161e+00
2.366713003757756617e+00,1.204806850366545889e+00,4.423304922836293507e+00
2.385416186395529881e+00,1.239022041014165021e+00,4.465281876530070804e+00
2.401317087109352322e+00,1.272528423315514967e+00,4.502120570700206770e+00
2.414701061794959802e+00,1.305376189959255528e+00,4.534321752601115918e+00
2.425824681832817298e+00,1.337611211804501377e+00,4.562336186345377520e+00
2.434918590691857787e+00,1.369275534096638935e+00,4.586569618240842416e+00
2.442190085991347015e+00,1.400407789417156712e+00,4.607387252769807873e+00
2.447825451665826435e+00,1.431043544241297427e+00,4.625117786849859414e+00
2.451992063016975365e+00,1.461215592452681067e+00,4.640057045481273512e+00
2.454840285639578124e+00,1.490954206361573053e+00,4.652471257761751744e+00
2.456505187494109954e+00,1.520287353548812836e+00,4.662600008503373417e+00
2.457108081776583575e+00,1.549240886094506386e+00,4.670658897288380906e+00
2.456757916713523393e+00,1.577838707356268966e+00,4.676841933719980915e+00
2.455552526988879602e+00,1.606102920361109021e+00,4.681323694834335747e+00
2.453579760190158776e+00,1.634053961008100631e+00,4.684261268114460641e+00
2.450918490441088782e+00,1.661710718597602554e+00,4.685796001261860688e+00
2.447639530264209995e+00,1.689090645668566593e+00,4.686055077815655778e+00
2.443806450684723242e+00,1.716209858707671954e+00,4.685152935841214727e+00
2.439476318641520702e+00,1.743083230968094588e+00,4.683192545222641279e+00
2.434700359907535638e+00,1.769724478382180610e+00,4.680266557568854680e+00
2.429524554933768510e+00,1.796146239355530749e+00,4.676458341366124039e+00
2.423990174314205603e+00,1.822360149077764113e+00,4.671842913766726113e+00
2.418134259917104067e+00,1.848376908867673807e+00,4.666487779281188963e+00
2.411990057136416343e+00,1.874206350979944036e+00,4.660453684628800275e+00
2.405587403180851513e+00,1.899857499230941604e+00,4.653795298087120891e+00
2.398953075832301884e+00,1.925338625747537113e+00,4.646561820856843994e+00
2.392111106665921749e+00,1.950657304101770073e+00,4.638797537214519373e+00
2.385083062326874170e+00,1.975820459062366696e+00,4.630542309555027991e+00
2.377888297099929993e+00,2.000834413169584991e+00,4.621832023820759083e+00
2.370544179684118014e+00,2.025704930320577191e+00,4.612698990269151977e+00
2.363066296792438514e+00,2.050437256537337660e+00,4.603172304038587903e+00
2.355468635933086752e+00,2.075036158077060655e+00,4.593278169529480870e+00
2.347763749491163843e+00,2.099505957034749404e+00,4.583040192217967324e+00
2.339962902015915613e+00,2.123850564579483624e+00,4.572479641159659991e+00
2.332076202425827915e+00,2.148073511958517035e+00,4.561615685116562346e+00
2.324112722670550024e+00,2.172177979396905823e+00,4.550465604947995679e+00
2.316080604232428897e+00,2.196166823014531477e+00,4.539044984643090253e+00
2.307987153710132855e+00,2.220042599876898226e+00,4.527367883135221760e+00
2.299838928600442589e+00,2.243807591290937431e+00,4.515446988825133623e+00
2.291641814280762635e+00,2.267463824452064625e+00,4.503293758547023629e+00
2.283401093092795264e+00,2.291013092543946250e+00,4.490918542538632430e+00
2.275121506336003741e+00,2.314456973387689853e+00,4.478330696820260748e+00
2.266807309897032496e+00,2.337796846732644873e+00,4.465538684247126966e+00
2.258462324167102686e+00,2.361033910276422176e+00,4.452550165372956670e+00
2.250089978832808146e+00,2.384169194497394173e+00,4.439372080148744182e+00
2.241693353065902006e+00,2.407203576378604382e+00,4.426010721378094814e+00
2.233275211583919617e+00,2.430137792097785354e+00,4.412471800758178020e+00
2.224838037005206548e+00,2.452972448754145773e+00,4.398760508252278711e+00
2.216384058878591468e+00,2.475708035198552537e+00,4.384881565465025943e+00
2.207915279728949187e+00,2.498344932029930909e+00,4.370839273624144816e+00
2.199433498425034994e+00,2.520883420816969700e+00,4.356637556711874026e+00
2.190940331144491271e+00,2.543323692600660380e+00,4.342280000234735482e+00
2.182437230182808996e+00,2.565665855729746259e+00,4.327769886071184402e+00
2.173925500827696311e+00,2.587909943077911556e+00,4.313110223792557818e+00
2.165406316497606287e+00,2.610055918688364063e+00,4.298303778812953446e+00
2.156880732322775884e+00,2.632103683888508794e+00,4.283353097687915501e+00
2.148349697328853836e+00,2.654053082914569650e+00,4.268260530849659062e+00
2.139814065366724360e+00,2.675903908083304472e+00,4.253028253037530071e+00
2.131274604917443138e+00,2.697655904545447125e+00,4.237658281656488057e+00
2.122732007887913053e+00,2.719308774653062866e+00,4.222152493272797180e+00
2.114186897501103779e+00,2.740862181970792122e+00,4.206512638435182083e+00
2.105639835373914082e+00,2.762315754958762248e+00,4.190740354990644789e+00
2.097091327866245525e+00,2.783669090353000364e+00,4.174837180047129337e+00
2.088541831776249857e+00,2.804921756267248600e+00,4.158804560719860710e+00
2.079991759449014488e+00,2.826073295038376898e+00,4.142643863784377878e+00
2.071441483359044433e+00,2.847123225835880955e+00,4.126356384346889783e+00
2.062891340220681435e+00,2.868071047054464362e+00,4.109943353631394736e+00
2.054341634675051154e+00,2.888916238507243772e+00,4.093405945972984128e+00
2.045792642597127120e+00,2.909658263435775716e+00,4.076745285097708837e+00
2.037244614061995307e+00,2.930296570351865970e+00,4.059962449761265191e+00
